p_id,p_time
process0,330.928
process1,276.406
process2,3.497
process3,11.592
process4,35.884
process5,28.681
process6,15.792
process7,1.545
process8,4.846
process9,111.3
process10,164.579
process11,77.557
process12,8.821
process13,882.371
process14,494.609
process15,25.128
process16,867.784
process17,11.459
process18,4.617
process19,4.431
process20,36.692
process21,188.87
process22,10.834
process23,3.259
process24,113.925
process25,5.433
process26,35.717
process27,4.899
process28,244.179
process29,41.44
process30,43.92
process31,3.125
process32,301.212
process33,23.408
process34,5.064
process35,1.49
process36,23.565
process37,750.838
process38,17.546
process39,52.976
process40,3.969
process41,62.234
process42,20.056
process43,655.974
process44,195.387
process45,35.126
process46,11.139
process47,5.694
process48,18.625
process49,24.082
process50,63.223
process51,42.678
process52,20.891
process53,350.942
process54,58.063
process55,13.262
process56,105.255
process57,4.775
process58,37.525
process59,617.093
process60,499.073
process61,1.331
process62,2.435
process63,2.261
process64,637.6
process65,34.172
process66,19.53
process67,147.132
process68,715.724
process69,1.95
process70,398.446
process71,6.291
process72,2.375
process73,5.019
process74,159.471
process75,1.04
process76,8.841
process77,327.562
process78,1.362
process79,77.651
process80,406.68
process81,2.235
process82,642.313
process83,890.777
process84,48.359
process85,2.302
process86,13.484
process87,90.802
process88,224.816
process89,503.662
process90,22.695
process91,230.446
process92,1.465
process93,3.948
process94,1.709
process95,1.494
process96,149.537
process97,3.851
process98,979.029
process99,7.058
